id,comicsId
191,22572
191,29320
191,32864
191,32867
191,32869
191,32871
191,32874
191,42486
191,42489
191,43014
191,2165
191,2323
191,4425
191,4516
191,65441
191,5216
12607,53999
12607,54031
12607,54199
12607,54200
12607,54202
12607,54203
12607,54204
4427,74189
4427,70592
4427,58659
4427,36577
4427,35789
4427,36117
4427,35793
4427,51565
4427,51707
4427,58838
4427,55135
4427,60903
1167,6520
1167,6521
1167,6522
1167,6523
1167,6524
1167,6525
1167,6526
1167,6528
1167,6529
1167,6530
1167,6531
1167,6532
1167,6533
1167,6534
1167,6535
1167,6536
1167,6537
1167,6540
1167,6541
1167,6542
4840,1011
4840,15401
4840,15402
4840,15403
4840,15404
10190,30911
11002,49678
11002,62614
11002,62615
11002,62616
11002,62617
11002,62618
11002,62619
11002,62620
11002,62621
11002,62622
11002,62623
11002,61168
11002,29287
11002,33645
11002,33592
11002,36221
11002,33420
11002,35266
11002,34894
11002,35267
587,705
587,1356
12492,56037
12492,56038
12492,70296
12492,51949
12492,56920
12492,51950
12492,54932
12492,57711
12492,57787
12492,62959
12492,67555
12492,69532
12492,61110
12492,66296
12492,66462
12492,68429
12492,57299
12492,70081
12492,70082
12492,70076
11575,45764
11575,43509
11575,54992
11575,41263
11575,41267
11575,41265
11575,41271
11575,41266
11575,41229
11575,47944
11575,47945
11575,50793
11575,47965
11575,47966
11575,47967
11575,47968
11575,47969
11575,47970
11575,47971
11575,47972
7340,21150
7340,21153
7340,21154
7340,21155
7340,17677
7340,17676
7340,29177
12619,54081
12619,54082
12619,54083
4444,13709
4444,16222
12975,61358
12975,61359
12975,61360
12975,61361
12975,61362
12975,61363
12975,61371
12975,61372
12975,66529
12975,62636
12975,62706
12975,64903
12975,65067
12975,65274
12975,65903
12975,66275
12975,65069
12975,65089
12975,64574
12975,64265
9535,32779
9535,32780
9535,35453
9535,31240
9438,51443
9438,53790
9438,53415
9438,53982
9438,53984
12297,47072
12297,49277
12297,47465
12297,56276
12297,56412
12297,56413
12297,71311
12297,51411
12297,47577
12297,47579
12297,47576
12297,47859
12297,47860
12297,47857
12297,47858
12297,47578
12297,47861
12297,47580
12297,47862
12297,47581
8000,29733
8000,29734
8000,21218
8000,21358
8000,41351
8000,29749
8000,29750
8000,29751
8000,32611
8000,32619
8000,32621
8000,32623
8000,32625
8000,24269
8000,27557
8000,27558
8000,27642
8000,21855
8000,17389
8000,39902
11398,30322
11398,32967
11398,52172
3750,10052
13162,60513
13162,60514
13162,67715
13162,67716
13162,71046
13162,71374
13162,64961
13162,65062
13162,66271
13162,67984
13162,68124
13162,68012
13162,67346
13162,65085
13162,73017
13162,66263
13162,61434
13162,66126
13162,67307
13162,67312
3640,22372
3640,8568
3640,8569
3640,59849
3640,30473
3640,30474
3640,33567
3640,29193
3640,48721
3640,48811
3640,48812
3640,49834
3640,15385
3640,15386
3640,15387
3640,15389
3640,15390
3640,1199
3640,27011
3640,18439
10271,67018
10271,42228
10271,26006
10271,26017
10271,29192
13179,56398
13179,56274
13179,61731
13179,62244
13179,64380
937,41273
937,41263
937,41267
937,41266
937,41230
937,41229
937,48278
937,16667
937,4108
937,4218
937,4470
937,45821
937,45822
937,36945
937,37570
937,6257
937,64210
937,2003
937,2108
937,2216
8830,18676
8830,1074
8830,36069
12820,65054
12820,65262
12820,65896
12820,73799
12820,71605
12820,59081
12820,62828
12820,63241
12820,63867
12820,64251
12820,64603
12820,73196
12820,57951
12820,57954
12820,57955
12820,57956
12820,57957
12820,73485
12820,66923
8680,24798
8680,24799
8680,65942
8680,28840
11044,74437
11044,74444
11044,74445
11044,74446
11044,74448
11044,34258
8209,22981
8209,21347
8209,21527
8209,21956
8209,22280
8209,23099
8209,23594
8209,23756
8209,24154
8209,25894
9628,25333
9628,23001
9628,25436
9628,40329
9628,40322
9628,40318
9628,39901
9628,40887
9628,39878
9628,41482
9628,41056
9628,36555
9628,21950
9628,21229
9628,21352
9628,21533
9628,21732
9628,21964
9628,22287
9628,22494
11000,33160
10252,26104
7804,51130
7804,23511
12700,57145
219,17546
219,6950
219,1098
219,942
219,943
219,12845
219,15581
219,19930
219,19856
219,15908
219,19842
219,5451
219,14953
219,1271
219,10921
219,10933
219,1102
219,68427
219,53986
219,53989
13313,12570
13313,12571
13313,12572
13313,12573
3667,8655
3667,8657
3667,8658
3667,8659
3667,8661
3667,8662
3667,59849
3667,10049
3667,10050
3667,10051
3667,10052
3667,10053
3667,10054
3667,10056
3667,10057
3667,10058
3667,10059
3667,10060
3667,10061
3667,10062
546,16090
546,16091
546,382
546,288
2074,6730
2074,1228
8658,45762
8658,43498
8658,43499
8658,44569
8658,56276
8658,57850
8658,56407
8658,56408
8658,57649
8658,56406
8658,56768
8658,56409
8658,56410
8658,56411
8658,56412
8658,56414
8658,56415
8658,56416
8658,56417
8658,56418
9018,51284
9018,48723
9018,49285
9018,55297
9018,51283
9018,48534
9018,48535
9018,50979
9018,51289
9018,51290
9018,51080
9018,53054
9018,51292
9018,51293
9018,51295
9018,55078
9018,51296
9018,51297
9018,51298
9018,51299
13182,64396
2234,7084
2234,7085
767,617
767,725
767,1322
767,25194
767,26790
767,2011
767,2115
767,3035
767,872
767,902
767,46
767,1443
767,1640
767,54376
767,26725
9344,24053
9344,1409
9344,24410
9344,44825
9344,45992
9344,45993
9344,45994
9344,45995
9344,49886
9344,37197
9344,37573
9344,38715
9344,64210
9344,37697
9344,27483
9344,28917
9344,27905
9344,41359
9344,26938
9344,26941
12668,54587
12668,54588
2379,5368
2379,8703
2379,10165
2379,10059
2379,10062
2379,16677
2379,18321
2379,18336
2379,18360
2379,23890
2379,6156
415,51434
415,51457
415,22845
415,34208
415,789
415,861
415,1449
415,1540
415,1635
415,60696
415,23985
415,819
415,1309
415,53680
415,53681
415,53682
415,53683
415,53684
415,53685
415,53686
8148,53993
12831,52564
12831,55730
6531,19763
